ETER ID,Institution Name,Reference year,Legal status,Institution Category standardized,Total staff (FTE),Total academic staff (FTE),Total students enrolled ISCED 5-7,Flag Academic Staff FTE,Total academic staff (HC),Flag Academic Staff HC,Country code
CZ0050,"Mezinárodní baptistický teologický seminář Evropské baptistické federace, o.p.s.",2012,private,other,,,28.0,0,,0,CZ
CZ0051,"Západomoravská vysoká škola Třebíč, o.p.s.",2012,private,other,,,455.0,0,,0,CZ
CZ0052,"Academia Rerum Civilium - Vysoká škola politických a společenských věd, s.r.o.",2012,private,other,,,277.0,0,24.0,0,CZ
CZ0053,"Vysoká škola evropských a regionálních studií, o.p.s.",2012,private,other,,,448.0,0,,0,CZ
CZ0054,Rašínova vysoká škola s.r.o. - Brno,2012,private,other,,,50.0,0,38.0,0,CZ
CZ0055,"Vysoká škola regionálního rozvoje, s.r.o.",2012,private,other,22.64,14.34,353.0,0,,0,CZ
CZ0056,"Filmová akademi Miroslava Ondříčka v Písku, o.p.s.",2012,private,other,,,203.0,0,,0,CZ
CZ0057,"Vysoká škola tělesné výchovy a sportu Palestra, s.r.o.",2012,private,other,,,352.0,0,,0,CZ
CZ0058,"NEWTON College, a.s.",2012,private,other,,,339.0,0,,0,CZ
CZ0059,"Vysoká škola logistiky, o.p.s.",2012,private,other,43.12,26.13,832.0,0,,0,CZ
CZ0060,"Vysoká škola zdravotnická, o.p.s.",2012,private,other,,,481.0,0,,0,CZ
CZ0061,"B.I.B.S., a.s.",2012,private,other,,,413.0,0,,0,CZ
CZ0062,"Soukromá vysoká škola ekonomická Znojmo, s.r.o.",2012,private,other,34.25,24.4,660.0,0,,0,CZ
CZ0063,"Moravská vysoká škola Olomouc, o.p.s.",2012,private,other,,,666.0,0,,0,CZ
CZ0064,"Vysoká škola obchodní a hotelová, s.r.o.",2012,private,other,37.3,26.7,435.0,0,7240.0,0,CZ
CZ0065,"CEVRO Institut, o.p.s.",2012,private,other,,,683.0,0,8786.0,0,CZ
CZ0066,Unicorn College s.r.o.,2012,private,other,,,365.0,0,1173.0,0,CZ
CZ0068,Vysoká škola realitní - Institut Franka Dysona s.r.o.,2012,private,other,,,31.0,0,3817.0,0,CZ
